              start,                   end,  length,   inter,    swel,    hsig,     tps,  a_hsig,   a_tps
2008-09-28 15:00:00,   2008-09-28 19:00:00,       4,     497,    0.10,    3.38,   12.90,    3.23,   12.90
2008-10-19 12:00:00,   2008-10-20 08:00:00,      20,     136,    0.39,    3.67,    8.33,    3.30,    9.15
2008-10-26 00:00:00,   2008-10-26 20:00:00,      20,      44,    0.28,    4.68,   10.00,    3.70,    9.82
2008-10-28 16:00:00,   2008-10-29 10:00:00,      18,     183,    0.08,    4.46,    9.09,    3.76,    8.40
2008-11-06 01:00:00,   2008-11-06 20:00:00,      19,     219,    0.15,    4.66,   12.12,    3.92,   11.44
2008-11-15 23:00:00,   2008-11-17 03:00:00,      28,     203,   -0.00,    3.63,    8.33,    3.32,    9.28
2008-11-25 14:00:00,   2008-11-25 22:00:00,       8,     120,    0.07,    3.36,    9.09,    3.23,    9.13
2008-11-30 22:00:00,   2008-12-02 14:00:00,      40,     185,    0.05,    4.08,    9.09,    3.42,    9.37
2008-12-10 07:00:00,   2008-12-10 13:00:00,       6,      43,    0.02,    3.42,    9.09,    3.22,    8.84
2008-12-12 08:00:00,   2008-12-13 05:00:00,      21,     162,   -0.07,    4.54,   10.00,    3.63,   11.03
2008-12-19 23:00:00,   2008-12-22 13:00:00,      62,      56,    0.29,    4.83,    9.09,    3.69,    8.19
2008-12-24 21:00:00,   2008-12-25 16:00:00,      19,      77,   -0.22,    4.91,    9.09,    3.83,    9.00
2008-12-28 21:00:00,   2008-12-29 00:00:00,       3,     246,   -0.05,    3.31,    7.69,    3.16,    7.69
2009-01-08 06:00:00,   2009-01-09 04:00:00,      22,     478,   -0.41,    5.05,    8.33,    3.96,   10.24
2009-01-29 02:00:00,   2009-01-29 09:00:00,       7,     340,   -0.34,    3.39,    8.33,    3.21,    8.38
2009-02-12 13:00:00,   2009-02-13 07:00:00,      18,     157,   -0.19,    3.97,   11.43,    3.48,    9.39
2009-02-19 20:00:00,   2009-02-20 23:00:00,      27,     229,   -0.07,    3.64,   11.43,    3.26,    9.84
